# stan_version_major = 2
# stan_version_minor = 5
# stan_version_patch = 0
# model = rats_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = rats_3.data.R
# init = 2 (Default)
# random
#   seed = 1160071740
# output
#   file = rats_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28,beta.29,beta.30,mu_alpha,mu_beta,sigmasq_y,sigmasq_alpha,sigmasq_beta,sigma_y,sigma_alpha,sigma_beta,alpha0
-434.49,0.971331,0.415723,3,7,0,236.309,244.676,252.897,234.364,229.931,251.892,227.566,246.043,286.842,218.99,257.17,224.979,242.639,269.137,240.048,245.728,232.122,242.927,255.981,243.726,247.167,221.943,225.988,245.791,233.087,253.256,255.105,240.161,218.528,235.067,6.22821,7.04303,6.3474,5.29475,6.17502,6.11277,6.01617,6.65001,6.69371,6.09405,6.66611,6.07225,5.96983,6.62378,5.94089,5.85779,6.32346,6.05511,6.25076,5.5693,6.77804,5.97152,5.76799,6.00609,6.92159,6.70034,5.86142,5.75598,5.69292,6.12346,243.839,5.93851,32.4442,402.32,0.24867,5.69598,20.0579,0.498669,113.191
-434.49,0.693916,0.415723,3,7,0,236.309,244.676,252.897,234.364,229.931,251.892,227.566,246.043,286.842,218.99,257.17,224.979,242.639,269.137,240.048,245.728,232.122,242.927,255.981,243.726,247.167,221.943,225.988,245.791,233.087,253.256,255.105,240.161,218.528,235.067,6.22821,7.04303,6.3474,5.29475,6.17502,6.11277,6.01617,6.65001,6.69371,6.09405,6.66611,6.07225,5.96983,6.62378,5.94089,5.85779,6.32346,6.05511,6.25076,5.5693,6.77804,5.97152,5.76799,6.00609,6.92159,6.70034,5.86142,5.75598,5.69292,6.12346,243.839,5.93851,32.4442,402.32,0.24867,5.69598,20.0579,0.498669,113.191
-430.556,0.71527,0.415723,3,7,0,237.192,245.651,253.186,235.593,227.66,249.935,228.68,251.721,283.73,217.297,257.92,227.009,243.886,269.867,243.716,245.998,230.717,242.869,254.062,243.433,248.198,221.968,230.883,245.235,230.406,254.013,254.26,243.493,215.461,234.322,5.83124,6.80169,6.25578,5.31532,6.60162,5.9863,5.92151,6.75231,6.90181,5.6097,6.59569,6.54248,6.17458,6.58593,5.83283,5.84784,6.37508,5.77369,6.21982,5.88402,6.627,6.13941,5.79382,5.85845,6.72922,6.18715,6.05608,5.76313,5.73167,6.37931,239.425,6.15559,36.3888,364.016,0.260282,6.03232,19.0792,0.510179,104.002
-426.953,0.796205,0.415723,3,7,0,242.439,250.336,253.405,229.627,235.509,250.338,229.033,247.101,283.388,220.708,257.189,228.262,241.092,267.627,242.115,245.394,231.957,237.929,256.226,241.082,250.625,225.738,225.373,244.223,236.289,254.245,254.675,244.437,220.267,246.734,6.30318,7.28328,6.59521,5.39478,6.51943,6.23882,6.03364,6.01419,7.30513,6.09676,6.96224,5.75816,6.23197,6.86522,5.00633,5.9933,6.25531,5.93998,6.59247,6.22239,6.12063,5.44944,5.66984,5.89872,7.06026,6.92584,5.75115,5.94102,5.62667,5.92081,245.154,6.19144,34.5408,158.907,0.52388,5.87714,12.6058,0.723796,108.943
-426.404,0.862379,0.415723,3,7,0,238.004,245.555,250.225,234.092,227.715,249.762,229.052,251.119,283.123,217.984,259.866,229.976,243.008,270.996,240.505,245.535,232.179,242.551,253.665,239.829,249.403,225.752,232.103,245.651,233.798,257.827,253.35,241.594,220.101,242.05,5.76673,7.12232,6.30549,4.84296,6.71727,6.00624,5.9781,6.75313,6.91179,5.93667,7.08657,6.28376,6.25196,6.43452,5.52767,5.98936,6.60491,5.67169,6.01031,6.19763,6.69378,5.84846,5.78966,5.88404,6.85153,6.2007,6.01601,6.02308,5.38077,5.98339,238.986,6.14976,30.324,263.75,0.219716,5.50673,16.2404,0.468739,103.691
-430.471,0.819469,0.415723,3,7,0,241.97,250.408,255.694,230.779,235.469,249.814,228.255,245.277,284.414,219.75,257.463,225.244,241.439,266.058,245.451,244.799,232.011,238.903,254.462,243.86,249.174,224.347,224.458,244.96,234.024,250.3,255.558,244.993,213.914,239.587,6.38052,7.12779,6.72393,5.7267,6.48485,6.17653,5.89925,6.11943,7.45408,5.68293,6.58579,5.95779,6.05687,6.99396,5.23527,5.81001,5.94921,5.82493,6.87555,5.87445,6.04025,5.75666,5.63575,5.80221,7.08075,6.8521,5.73856,5.72096,5.82537,6.31739,246.814,6.19689,35.853,187.039,0.274971,5.98774,13.6762,0.524377,110.482
-437.657,0.775707,0.415723,3,7,0,238.62,245.762,256.897,237.617,231.553,247.619,227.107,248.478,283.277,219.592,259.419,225.755,240.088,269.683,238.692,245.326,230.66,237.939,252.551,245.954,245.76,223.988,226.711,248.221,234.525,253.014,258.884,240.621,220.726,243.35,6.03989,7.40321,6.50626,5.08027,7.25176,6.06511,5.98171,6.0413,7.01936,5.98664,6.50632,6.34915,6.25418,6.57347,5.59046,5.91091,6.31044,6.00984,6.08458,6.47763,6.59204,5.95619,5.41969,5.78816,6.91219,6.17102,6.5147,5.60199,5.76468,6.17069,243.071,6.10774,33.58,233.981,0.295965,5.79482,15.2964,0.544027,108.701
-446.856,0.782541,0.415723,3,7,0,242.597,248.946,248.168,229.811,227.151,248.921,228.565,250.008,281.459,221.046,258.722,227.148,243.059,264.416,245.128,247.445,230.064,244.533,254.547,238.794,253.957,225.041,231.452,242.882,239.598,256.121,253.602,243.096,224.059,241.772,5.90995,6.65733,7.07742,5.11733,6.3958,5.98562,5.30309,6.29457,7.37966,5.79818,6.84923,5.33703,6.11253,6.75762,4.92613,5.48734,6.12527,5.55627,6.39896,5.98267,6.64852,5.85122,5.92328,6.12612,6.71967,6.64603,5.6092,5.81766,5.37378,6.45381,243.403,6.17427,45.4226,134.796,0.380487,6.73963,11.6102,0.616836,107.569
-437.351,0.914032,0.415723,3,7,0,236.37,246.588,254.274,235.201,235.283,250.705,231.519,244.248,283.797,217.691,261.606,228.553,239.356,271.799,240.072,241.839,232.547,237.099,252.62,244.452,244.478,226.468,226.182,245.545,232.974,251.14,257.931,242.295,220.58,239.641,6.10951,7.62828,6.44941,5.51282,6.56693,6.47655,6.36044,6.60075,6.82588,6.07133,6.81854,6.51254,5.88249,6.76572,5.64013,6.14102,6.6546,6.1883,6.03888,5.99222,6.14712,6.05466,5.66036,5.84733,7.28989,6.67183,5.96168,6.08423,5.75299,5.84755,241.282,6.2056,33.2875,268.263,0.202489,5.76953,16.3787,0.449988,104.758
-449.203,0.797952,0.415723,3,7,0,244.111,245.445,256.396,237.62,235.051,248.747,235.494,248.849,283.039,221.477,260.889,230.83,249.513,268.811,238.997,247.038,232.181,237.418,252.461,245.989,245.462,227.379,227.875,246.859,237.144,256.946,250.783,248.492,224.643,246.487,5.99266,6.8324,6.70324,5.33601,6.53693,6.19254,5.91285,6.05457,6.96567,5.79587,6.50846,6.03843,5.97932,6.43083,5.433,5.6107,6.55671,5.8951,6.80519,6.00952,6.44682,6.42271,6.16182,5.79352,6.53667,6.4681,5.93583,5.48226,6.15737,6.17666,247.063,6.2913,56.9734,159.572,0.179596,7.54807,12.6322,0.423788,108.654
-458.535,0.731307,0.415723,3,7,0,243.857,248.611,256.543,233.751,230.48,253.388,228.595,255.395,287.292,221.276,258.851,228.168,242.877,276.929,243.01,246.338,232.182,231.945,252.247,244.786,251.546,222.015,232.537,243.58,237.822,250.724,250.618,250.559,220.867,245.039,6.09492,7.35065,6.34745,5.41063,6.52182,5.93383,6.18972,5.99132,6.93377,6.19646,6.86814,6.54432,6.27062,6.52405,5.7961,6.10191,6.44628,6.38078,6.48853,6.42653,6.45835,5.94638,6.0308,4.92081,6.70263,6.60099,5.95393,6.36996,5.75154,5.85759,246.22,6.13589,45.2463,232.28,0.213487,6.72654,15.2407,0.462047,111.23
-449.667,0.97869,0.415723,3,7,0,232.923,248.45,253.853,233.512,234.41,247.666,230.375,245.701,282.064,216.936,255.989,233.845,244.569,261.405,237.201,244.869,230.87,242.43,259.211,242.417,248.108,230.055,222.821,247.656,235.256,258.013,255.839,240.399,214.401,239.418,5.98141,6.57485,6.12616,5.73002,6.20483,6.12477,6.05003,6.34837,6.90172,5.93058,6.57776,6.06594,5.99056,6.80594,5.62881,5.63259,6.02971,5.45339,6.37713,5.76587,6.21437,5.97407,5.5912,6.70502,6.58179,6.77975,5.80795,5.42123,5.68857,6.00762,240.443,6.24226,50.6994,195.71,0.137216,7.12035,13.9896,0.370427,103.113
-455.594,0.791019,0.415723,4,15,0,230.904,244.592,251.666,234.246,237.412,249.766,230.296,246.627,283.61,215.727,258.657,237.008,249.175,262.465,235.14,247.303,232.163,239.786,253.493,241.767,247.198,225.277,227.926,246.479,234.434,261.107,255.697,242.758,214.995,240.11,5.89191,6.79576,6.44796,5.80689,6.06092,6.09404,6.02296,6.45345,6.96289,6.34196,6.59457,6.04662,5.86499,6.94382,5.60481,5.57292,6.32261,5.37911,6.13826,5.83315,6.00474,6.22195,5.87428,6.08474,6.73259,6.36631,5.87556,5.57093,6.0297,6.19143,237.973,6.09066,43.52,228.409,0.0902881,6.59697,15.1132,0.30048,103.979
-450.146,0.935661,0.415723,3,7,0,236.77,247.023,253.527,233.616,234.084,246.452,228.459,248.858,280.949,216.171,259.39,236.168,250.987,261.172,241.11,246.69,233.401,239.149,252.463,242.958,247.328,227.475,227.49,244.462,236.145,257.827,255.013,240.277,213.908,240.84,5.7588,6.50283,6.47517,5.6541,6.2358,5.9844,5.9193,6.70168,6.96278,6.61541,6.49853,6.15529,6.21453,6.81425,5.66723,5.48821,6.40147,5.38977,6.4185,6.18119,6.31632,6.0874,6.16367,6.34845,6.86826,6.85116,5.67554,5.72792,5.98988,6.13831,238.736,6.06623,51.7648,180.31,0.175452,7.19477,13.428,0.41887,105.279
-448.395,1,0.415723,3,7,0,237.806,245.191,252.894,232.01,238.648,245.374,228.12,248.417,280.337,220.515,258.91,232.587,250.393,265.464,239.827,245.115,234.108,240.325,253.1,244.636,244.614,228.179,225.729,245.074,237.983,256.659,250.456,243.977,215.492,240.756,6.02661,6.42985,6.52856,5.34344,6.5857,5.79132,6.06557,6.3922,6.92137,6.43487,6.76731,6.13931,6.26566,6.49314,5.78901,5.43458,6.33332,5.69765,6.41856,6.25447,6.34587,6.4441,6.14121,6.24012,6.81318,6.91376,5.26173,5.8622,5.83048,6.07564,237.793,6.14785,51.6359,202.25,0.2006,7.18581,14.2215,0.447883,102.541
-443.877,0.995461,0.415723,3,7,0,238.762,241.316,255.09,234.271,226.648,250.932,227.077,248.101,280.744,224.419,258.28,228.671,243.751,268.055,246.327,246.169,236.105,238.174,251.037,242.629,249.485,224.963,224.294,245.49,232.486,251.528,257.358,244.922,219.246,241.433,6.10928,7.51091,6.59474,5.36198,6.09454,5.97476,6.08353,6.5372,6.70089,5.51539,6.55749,6.41704,5.47913,6.55641,5.59887,5.79695,6.05411,5.96914,6.02859,5.80249,5.82248,6.13991,5.76913,6.06542,7.21233,6.50862,5.69841,5.57598,6.20449,5.97549,240.963,6.19409,43.1947,242.933,0.210111,6.57227,15.5863,0.458379,104.693
-443.293,0.898306,0.415723,3,7,0,238.283,244.721,254.953,235.353,228.037,250.139,225.287,249.065,280.24,223.482,258.099,227.525,242.722,268.407,245,243.776,236.697,236.609,251.054,242.059,249.382,224.284,224.501,245.453,232.939,251.586,257.521,245.92,218.605,242.575,6.12625,7.29623,6.59163,5.47098,6.0217,6.11888,6.02542,6.48691,6.60223,5.76788,6.74846,6.41738,5.35153,6.38317,5.39074,5.79728,5.8404,5.98141,6.02224,5.85112,5.9009,5.90007,5.80736,6.0455,7.28073,6.40885,5.76643,5.63177,6.31176,6.04303,243.918,6.19784,42.7114,274.263,0.212527,6.5354,16.5609,0.461007,107.566
-435.134,0.947499,0.415723,3,7,0,239.243,247.471,253.262,232.01,229.348,248.043,224.84,247.7,284.503,223.353,256.423,228.637,244.413,271.918,244.938,243.264,236.311,236.912,251.841,240.053,247.951,223.881,225.087,250.763,229.469,252.635,254.937,245.098,221.721,246.366,6.13479,7.0501,6.41218,5.39175,6.16785,6.14971,6.07814,6.73807,6.93516,5.71389,6.71951,6.08436,5.56011,6.90153,5.41572,6.016,6.12437,5.64761,6.15147,5.89124,6.0656,5.73529,5.74576,6.15976,7.08014,6.44705,6.01769,5.86348,5.78317,5.88105,246.263,6.23668,43.2302,207.089,0.242459,6.57497,14.3906,0.492402,109.056
-444.492,0.866474,0.415723,3,7,0,242.728,245.833,258.118,230.233,233.269,248.665,225.191,252.913,283.173,220.178,250.849,229.362,242.466,271.078,244.385,242.817,231.946,242.05,255,239.086,248.226,223.738,228.143,246.334,232.941,249.726,255.339,244.713,223.256,242.317,6.12629,7.15792,6.41854,5.4975,6.46529,6.15732,6.27378,6.70226,6.808,5.93958,6.52868,5.98897,5.64196,7.07426,5.53009,6.04734,6.16704,6.15176,6.53727,6.04356,5.63926,5.60846,5.54324,5.91702,7.12673,6.74797,5.97787,5.3419,5.6567,6.20278,249.6,5.99809,35.7508,217.766,0.265886,5.9792,14.7569,0.515642,117.642
-437.832,0.994562,0.415723,3,7,0,239.323,240.921,256.177,232.024,228.154,249.619,227.324,252.107,286.564,219.589,256.867,225.865,241.585,272.796,241.005,246.001,233.583,238.699,257.32,238.969,249.89,219.772,228.753,245.155,231.41,252.497,253.95,247.064,220.196,238.715,5.93481,7.11526,6.64351,5.45701,6.14256,5.7692,6.29924,6.78568,7.15494,5.82391,6.51295,5.99329,5.86959,6.55309,5.54499,5.87402,6.33071,5.70445,6.34021,5.61863,6.17983,6.1079,5.98404,5.67914,7.06972,6.44791,5.84683,5.46682,5.51955,6.36497,244.799,6.08083,41.7969,189.393,0.315255,6.46505,13.762,0.561475,111.021
-446.176,0.848774,0.415723,3,7,0,240.253,251.947,250.935,233.273,231.607,249.253,225.058,249.283,281.392,216.594,254.977,223.671,243.479,266.492,243.484,250.367,231.594,247.363,252.074,246.896,249.541,222.777,229.262,245.88,233.718,255.925,251.129,246.693,218.989,242.104,6.3725,7.17911,6.75177,5.27532,6.57971,6.51743,5.91522,5.93426,6.83584,5.71917,7.16217,5.86232,6.52514,6.80527,5.50164,6.15344,6.05835,5.56366,5.84911,5.94221,6.26677,5.31134,5.64831,6.56422,6.78504,6.25801,5.56079,5.66672,5.57086,5.86265,240.731,6.14252,39.1208,360.635,0.227122,6.25466,18.9904,0.476573,105.595
-435.498,1,0.415723,3,7,0,238.864,248.801,255.385,231.847,233.45,243.786,227.528,249.804,281.639,216.634,257.437,227.229,245.994,267.153,241.768,248.801,231.841,240.642,251.323,246.375,251.446,224.075,230.264,245.981,236.041,250.568,250.731,243.031,220.582,241.045,6.03666,7.52276,6.53674,5.47005,6.50817,6.34943,5.93634,5.92124,6.82766,6.38193,7.15437,6.05176,6.02396,6.64472,5.49211,5.55918,6.0086,5.58298,6.16033,6.36127,6.39445,6.12873,5.49675,5.8111,6.78826,6.2873,5.7622,5.71846,5.61274,5.93471,241.993,6.02994,39.7842,285.362,0.303372,6.30747,16.8927,0.550792,109.335
-435.435,0.944619,0.415723,3,7,0,239.962,249.494,252.009,236.071,229.7,255.49,228.823,249.289,286.558,221.701,258.958,230.228,239.29,268.825,244.564,244.193,236.329,241.055,256.625,240.061,248.186,225.659,224.149,245.537,232.055,257.94,257.509,245.217,218.375,243.729,6.10105,6.55316,6.2457,5.26497,6.67923,5.92833,5.79949,6.62359,7.02137,5.37813,7.01836,6.42073,6.34355,6.78936,5.31732,5.91072,6.48542,6.02525,6.59156,5.59767,6.1561,5.87122,5.79374,6.09895,6.97539,6.52333,5.9916,5.85861,5.18083,6.40043,246.73,6.23431,28.4105,156.624,0.268743,5.33015,12.515,0.518405,109.576
-438.189,0.899449,0.415723,3,7,0,241.34,252.019,252.171,230.366,234.854,245.953,233.742,252.123,281.618,219.81,258.672,228.077,244.734,265.621,240.482,247.319,229.929,237.609,250.863,241.635,248.586,226.149,234.542,244.382,234.714,251.822,253.184,240.957,220.405,237.062,5.65727,7.74481,6.47643,5.07754,6.4603,6.19337,6.00624,6.5128,7.39081,6.28455,6.64281,5.69993,5.93188,6.77271,5.71286,5.96126,6.25817,5.80985,6.31184,6.31387,6.49569,6.07669,5.76428,5.78413,6.78491,6.66053,6.08476,6.02018,6.08694,6.26769,239.951,6.14776,43.6901,199.056,0.260091,6.60985,14.1087,0.509991,104.7
-427.347,0.885574,0.415723,3,7,0,238.741,244.165,253.067,234.692,229.23,252.384,224.987,244.783,284.041,218.482,257.211,229.27,240.126,270.11,243.758,243.643,234.894,242.903,254.541,242.458,248.349,227.199,224.091,245.564,236.091,255.349,255.925,244.668,216.868,243.355,6.44337,6.54152,6.52385,5.50824,6.84396,6.22483,5.86645,6.33125,6.95772,5.40971,7.04746,6.366,6.36867,6.76183,5.12311,5.82443,6.25413,5.78484,6.51837,5.89358,6.46832,5.55321,5.75611,5.85046,7.1851,6.44478,5.71589,5.73402,5.36902,5.96703,244.828,6.28897,29.8354,183.054,0.338903,5.46218,13.5298,0.582154,106.471
-424.914,0.687491,0.415723,3,7,0,238.202,246.984,252.117,234.097,226.945,250.304,227.471,242.687,283.614,220.105,258.113,229.098,241.836,269.764,244.188,243.243,234.445,242.702,253.765,240.698,248.395,227.206,226.893,243.391,236.491,254.572,257.422,245.722,217.644,243.648,6.39008,6.63714,6.5067,5.41342,6.74707,6.35841,5.85934,6.50586,6.98474,5.39141,7.04344,6.45229,6.26735,6.75336,5.02929,5.71675,6.25324,5.91621,6.47544,6.01079,6.3893,5.56997,5.93387,5.92898,7.05915,6.4324,5.85144,5.92597,5.59375,6.06934,242.622,6.34813,28.7423,212.935,0.320189,5.36118,14.5923,0.565853,102.963
-425.681,0.794603,0.415723,3,7,0,239.132,246.945,252.289,234.269,227.158,249.345,226.697,243.204,285.581,220.111,258.19,228.995,240.655,269.929,244.071,244.283,234.271,242.166,253.87,241.913,248.539,226.764,227.121,243.505,238.133,253.759,255.557,245.953,217.23,242.346,6.24013,6.79221,6.58183,4.98154,6.61136,6.34352,5.91404,6.45788,7.18241,5.40578,7.0513,6.44483,6.34826,6.68551,4.98231,5.78782,6.38959,5.90524,6.566,6.22586,6.42926,5.62326,6.03932,5.87444,6.99745,6.36284,5.9472,5.67998,5.59122,5.97729,240.389,6.402,25.0703,183.418,0.353232,5.00702,13.5432,0.594334,99.5452
-436.843,0.649743,0.415723,3,7,0,243.317,251.115,250.14,233.37,234.07,250.147,229.846,251.358,278.325,220.582,251.934,224.935,242.324,269.183,236.049,248.117,229.307,241.757,253.574,240.172,247.708,223.553,231.069,245.254,230.259,255.053,253.379,239.199,220.046,239.667,6.14364,7.33645,6.48958,5.56753,6.44332,6.30085,5.96661,6.41155,7.05381,6.24878,6.75273,6.07912,6.01539,6.70292,5.67683,6.09035,5.84663,5.95446,6.43576,5.86357,6.18742,6.04255,5.54685,6.10913,6.71763,6.95345,6.17252,5.77855,5.84014,6.13934,242.24,6.05238,47.0184,224.73,0.176495,6.85699,14.991,0.420114,109.088
-444.309,0.90884,0.415723,3,7,0,240.992,249.684,252.305,226.456,229.21,246.176,230.311,244.772,289.229,220.122,256.057,225.892,241.83,265.868,239.931,241.913,232.816,240.117,261.871,239.505,251.939,227.227,227.116,243.369,231.478,250.048,255.228,241.435,218.184,240.863,5.78324,6.79786,6.2254,5.53367,6.41551,6.15009,6.14842,6.45569,6.37157,5.89403,6.62334,6.2947,6.35518,6.06705,5.77568,6.07749,6.52652,5.32749,6.45599,6.02432,6.77207,5.59264,6.12387,5.97513,6.78188,6.47005,5.59642,6.01005,5.68237,5.96015,239.813,6.27561,41.9844,171.534,0.205166,6.47954,13.0971,0.452952,101.75
-441.366,0.994123,0.415723,3,7,0,244.3,244.138,251.719,230.612,230.975,245.193,231.656,246.305,287.75,219.068,258.11,226.02,237.899,263.089,241.554,242.103,229.62,235.93,256.675,245.508,244.364,226.335,229.275,242.276,238.574,253.892,256.519,243.474,221.609,245.017,6.15597,6.81822,6.21279,5.48521,6.46411,6.08526,6.04795,6.28918,6.58784,5.73032,6.74738,6.40187,6.12994,6.62903,6.2134,6.01846,6.81223,5.59061,6.30622,5.95725,6.40791,6.03014,6.25003,5.90444,7.03984,6.21262,5.90345,6.08563,5.75672,6.18253,243.666,6.1354,42.183,200.562,0.0954253,6.49485,14.162,0.30891,108.687
